user_id,creation_date,name,street,state,city,country,birthdate,gender,device_address,user_type,old_id
USER00001,2020-01-01 08:22:55,Melisa Jacobson,56168 Lake Course bury,Alaska,Detroit,Bahamas,1992-04-29 14:35:27,female,04:2e:0a:95:d9:27,basic,USER42753
USER00002,2020-01-01 09:42:19,Garfield Reynolds,16153 North Common stad,Michigan,St. Louis,Mozambique,2003-08-26 07:44:37,female,1a:50:34:7b:ef:02,basic,USER38021
USER00003,2020-01-01 10:18:50,Amos Marquardt,9026 Club bury,Florida,New York City,British Indian Ocean Territory,2011-01-04 00:21:30,female,8f:fd:44:1f:19:51,basic,USER29148
USER00004,2020-01-01 14:10:01,Brendan Halvorson,15614 East Port ton,South Dakota,Boston,Benin,1980-09-01 22:51:01,female,65:e0:f9:8f:73:f7,basic,USER63885
USER00005,2020-01-02 09:31:05,Gerda Bauch,30857 Springs view,Missouri,Minneapolis,Martinique,1992-09-30 13:24:28,male,84:1f:ee:d5:2f:e5,basic,USER20829
USER00006,2020-01-02 13:17:14,Clay Boyle,44201 Keys side,Hawaii,Chesapeake,Azerbaijan,2007-08-06 09:21:09,male,2e:67:06:95:20:0f,premium,USER46448
USER00007,2020-01-02 13:23:17,Ephraim Ritchie,24694 South Burgs land,Wyoming,Henderson,Bolivia (Plurinational State of),2006-09-17 16:56:13,male,43:48:50:5f:57:68,basic,USER25771
USER00008,2020-01-02 23:25:47,Candice Glover,2483 Fields chester,South Carolina,Raleigh,Guinea,2017-01-26 00:56:04,female,2e:b5:64:8e:3f:f4,basic,USER37556
USER00009,2020-01-03 08:05:37,Makenna Oberbrunner,1715 East Squares view,Tennessee,Tulsa,Chad,2002-01-01 09:02:43,female,7d:1d:25:98:a5:fe,basic,USER57965
USER00010,2020-01-03 20:14:19,Lindsey Schmitt,485 East Views town,Michigan,Kansas ,Belarus,1991-08-14 23:38:26,male,1b:91:e9:d5:0a:20,basic,USER50760
USER00011,2020-01-04 05:14:24,Amani Stroman,7516 Streets shire,Arkansas,Lubbock,Malaysia,2003-04-20 02:20:19,female,17:d6:ba:07:d9:15,basic,USER43146
USER00012,2020-01-04 13:30:23,Abigayle Ullrich,163 Lake Circle bury,Arizona,Laredo,Samoa,2011-12-24 10:34:28,female,97:ac:74:95:25:73,basic,USER38366
