staff_id,name,job_level,street,state,city,country,contact_number,creation_date
MERCHANT00001,Rusty Muller,entry,75849 New Spring mouth,Nebraska,Wichita,Saint Kitts and Nevis,451.749.1606,2020-01-01 11:29:44
MERCHANT00002,Candido Kohler,entry,83408 New Key burgh,Utah,Henderson,Bouvet Island,545-803-1303,2020-01-02 19:31:00
MERCHANT00003,Joey Bins,entry,798 Village stad,Arkansas,Seattle,Albania,483.205.0084,2020-01-03 04:26:18
MERCHANT00004,Flavio Price,entry,962 Corners mouth,Georgia,Charlotte,Norway,664-441-6626,2020-01-03 04:55:45
MERCHANT00005,Schuyler Durgan,intermediate,471 Forks land,New York,Omaha,Northern Mariana Islands,362.427.3550,2020-01-03 06:50:11
MERCHANT00006,Chaya Corkery,intermediate,5282 Port Points burgh,Massachusetts,New York City,Czechia,(828)578-8848,2020-01-04 08:08:44
MERCHANT00007,Willie Bartell,entry,7319 Spring mouth,Kentucky,Durham,Ukraine,564.680.6331,2020-01-04 22:44:32
MERCHANT00008,Rhett Jacobi,intermediate,5789 Port Crossing berg,Nevada,Mesa,Lao People's Democratic Republic,1-430-377-0288,2020-01-05 06:28:11
MERCHANT00009,Marcella Koelpin,entry,91156 North Stravenue shire,New Hampshire,Charlotte,Nigeria,(201)188-2792,2020-01-05 10:29:14
MERCHANT00010,Orpha Leffler,entry,3671 Ports shire,California,Fort Wayne,Brunei Darussalam,1-069-286-5283,2020-01-05 19:55:59
MERCHANT00011,August Aufderhar,intermediate,85566 East Stravenue mouth,Kansas,Long Beach,Guyana,373.039.8232,2020-01-06 05:44:08
MERCHANT00012,Lavon DuBuque,entry,775 Island borough,Vermont,Aurora,French Guiana,153-732-9261,2020-01-06 06:58:11
MERCHANT00013,Nicholaus Langosh,entry,18837 Port Stravenue berg,Arizona,Orlando,Iraq,492-315-2447,2020-01-06 07:05:34
MERCHANT00014,Mackenzie Dicki,senior,54040 New Brooks view,Rhode Island,Philadelphia,Montserrat,1-946-686-2072,2020-01-06 07:18:07
MERCHANT00015,Helena Sauer,entry,5885 New Forges port,Indiana,Louisville/Jefferson,United Arab Emirates,522-963-0525,2020-01-06 19:16:45
MERCHANT00016,Jena Beahan,entry,4366 Parkway port,New Mexico,Birmingham,Ecuador,1-055-365-1872,2020-01-06 23:30:26
MERCHANT00017,George Jacobi,entry,96317 North Avenue furt,Idaho,Austin,Heard Island and McDonald Islands,920-921-5251,2020-01-07 01:03:09
MERCHANT00018,Brett Reynolds,entry,32219 West Port town,Ohio,Pittsburgh,Costa Rica,230.869.5406,2020-01-07 16:36:41
MERCHANT00019,Angeline Lynch,senior,3699 Roads burgh,Delaware,Long Beach,Australia,(853)040-6167,2020-01-08 04:58:19
MERCHANT00020,Skyla Smitham,entry,3083 Cliffs shire,Nevada,Oklahoma,Mozambique,1-130-735-2437,2020-01-08 05:37:21
MERCHANT00021,Louisa Conn,senior,4888 West Ways town,Massachusetts,Irvine,Djibouti,894-240-1295,2020-01-08 06:25:12
MERCHANT00022,Kurt Nader,entry,924 Square ton,Arkansas,Garland,Guernsey,1-437-887-5757,2020-01-08 12:08:07
MERCHANT00023,Misael Kuvalis,intermediate,3062 West Expressway view,Florida,Anaheim,Kuwait,(108)276-7182,2020-01-08 16:07:09
MERCHANT00024,Rowland Dach,entry,996 Courts view,Maryland,Las Vegas,Dominican Republic,470.358.6036,2020-01-08 21:18:26
MERCHANT00025,Tyrell Johnson,intermediate,29528 East Green stad,Montana,New Orleans,French Southern Territories,1-207-642-9339,2020-01-08 22:51:32
MERCHANT00026,Demarcus Von,entry,3722 Vista chester,Nebraska,St. Louis,Slovenia,749.232.0584,2020-01-09 16:59:16
MERCHANT00027,Mathew Stehr,entry,71619 Lake Plain mouth,Wyoming,Durham,Gambia,(078)986-0145,2020-01-09 17:22:59
MERCHANT00028,Stephanie Murazik,entry,31720 New View borough,Illinois,Chicago,Bulgaria,120.688.5148,2020-01-09 18:58:51
MERCHANT00029,Marvin Medhurst,entry,3531 Pine town,Iowa,San Francisco,"Bonaire, Sint Eustatius and Saba",1-005-181-8117,2020-01-10 19:08:02
MERCHANT00030,Jailyn Grimes,entry,6170 North Crossroad berg,Tennessee,Wichita,Mauritania,706-241-4813,2020-01-11 12:52:52
MERCHANT00031,River Gerlach,intermediate,865 Views ville,South Carolina,San Jose,Curaçao,828.963.5852,2020-01-11 14:50:49
MERCHANT00032,Eladio Wilderman,intermediate,26060 Viaduct ton,Idaho,Tucson,Uganda,1-214-665-2375,2020-01-11 22:15:41
MERCHANT00033,Isaias Bode,entry,649 Mountains chester,New York,Houston,Malaysia,1-956-107-0397,2020-01-12 00:31:31
MERCHANT00034,Eric Hoeger,entry,81886 West Rue ville,Mississippi,Memphis,Malaysia,(964)818-8215,2020-01-12 13:11:49
MERCHANT00035,Madalyn Kunde,entry,14713 Ports burgh,Arizona,Fresno,Austria,1-265-888-9561,2020-01-12 14:15:13
MERCHANT00036,Carissa Crona,entry,72684 Meadow fort,West Virginia,El Paso,Zambia,(559)608-9425,2020-01-13 07:09:33
MERCHANT00037,Betty Walsh,entry,1227 Extensions mouth,Michigan,Philadelphia,Isle of Man,1-631-391-5155,2020-01-13 17:24:48
MERCHANT00038,Emilio Johnston,entry,1504 South Forge fort,Kansas,Tucson,Kyrgyzstan,237-848-5496,2020-01-13 18:54:57
MERCHANT00039,Reuben Stehr,entry,993 North Mission mouth,Alaska,Fort Wayne,China,(940)894-5244,2020-01-14 05:44:47
MERCHANT00040,Marcelina Upton,senior,9617 Crest furt,Wisconsin,Honolulu,Ghana,111.481.1315,2020-01-14 08:48:36
MERCHANT00041,Chesley Roob,entry,33702 Plain stad,Oklahoma,Hialeah,Togo,1-741-154-4897,2020-01-14 12:45:29
MERCHANT00042,Gerda McDermott,entry,54436 Prairie shire,New York,Jacksonville,Cyprus,1-804-543-0202,2020-01-14 17:58:35
MERCHANT00043,Eugene Harris,entry,10440 Port Shores side,Virginia,Toledo,"Korea, Republic of",(395)179-8381,2020-01-14 23:28:50
MERCHANT00044,Santos Boyer,intermediate,9720 Street ville,New Hampshire,Washington,Kenya,852.675.2256,2020-01-15 00:14:30
MERCHANT00045,Kendra Greenholt,entry,3417 Greens view,Maine,Laredo,Antarctica,395.177.7042,2020-01-15 08:24:39
MERCHANT00046,Birdie McDermott,entry,42915 West Road bury,Maryland,Laredo,Saudi Arabia,1-334-810-4191,2020-01-15 11:39:26
MERCHANT00047,Hubert Paucek,entry,7119 Port Ramp chester,Massachusetts,Phoenix,Estonia,479.460.4716,2020-01-15 17:12:11
MERCHANT00048,Nelda Stehr,entry,89253 New Alley fort,Florida,Charlotte,Malaysia,1-684-795-6254,2020-01-16 19:31:45
MERCHANT00049,Van Okuneva,entry,5478 West Keys bury,California,Minneapolis,Belarus,1-601-964-3344,2020-01-17 01:53:03
MERCHANT00050,Mitchel Cremin,senior,8151 Lake Landing town,Louisiana,Chandler,Tokelau,(608)415-3884,2020-01-17 18:52:20
MERCHANT00051,Julius Dooley,senior,6867 Pike ton,Michigan,Honolulu,Costa Rica,(103)868-7861,2020-01-17 19:37:25
MERCHANT00052,Dallin Parisian,intermediate,6677 New Camp chester,Washington,Reno,Vanuatu,1-154-424-0800,2020-01-18 12:13:09
MERCHANT00053,Rupert Lowe,senior,304 Lake Mountains ville,Connecticut,Baltimore,Virgin Islands (British),502.840.5370,2020-01-18 19:51:51
